id,name,series,year,platform,format,client,player_local,player_online,completion,subscription,online support
1,101 Top Games for Windows,Bundle,1995,PC,physical,PC Disc,1,0,not started,no,no
2,2064: Read Only Memories,Read Only Memories,2015,PC,digital,Epic,1,0,not started,no,no
3,24 Games for Windows 95,Bundle,1995,PC,physical,PC Disc,1,0,not started,no,no
4,"3D Game Alchemy for Doom, Doom II, Heretic, & Hexen (Expansion)",Doom,1996,PC,physical,PC Disc,1,2-8,not started,no,terminated
5,40 Best Windows 95 Games,Bundle,1996,PC,physical,PC Disc,1,0,not started,no,no
6,A Game of Thrones: The Board Game - Digital Edition,Game of Thrones,2020,PC,digital,Epic,1,2-6,not started,no,yes
7,Aegis Wing,n/a,2007,Xbox 360,digital,Console,1-4,2-4,unfinished,no,yes
8,Akalabeth: World of Doom,n/a,1980,PC,digital,GOG,1,0,not started,no,no
9,Alien Logic: A Skyrealms of Jorune Adventure,Skyrealms of Jorune,1994,PC,physical,PC Disc,1,0,not started,no,no
10,America's Army: True Soldiers,U.S. Army Game,2007,Xbox 360,physical,Console,1-2,2-16,not started,no,yes
11,Among the Sleep,n/a,2015,PS4,digital,Console,1,0,unfinished,no,no
12,Among the Sleep: Enhanced Edition,n/a,2017,PC,digital,Epic,1,0,not started,no,no
13,Among Us,n/a,2018,PC,digital,Epic,0,4-15,not started,no,yes
14,Ancient Enemy,n/a,2020,PC,digital,Epic,1,0,not started,no,no
15,Angry Birds: Star Wars,Angry Birds,2013,Nintendo Wii,physical,Console,1-4,0,not started,no,no
16,Animal Crossing: New Horizons,Animal Crossing,2020,Nintendo Switch,digital,Console,1-2,2-8,unfinished,yes,yes
17,Anno 1404: History Edition,Anno,2020,PC,digital,Uplay/Ubisoft,1,2-4,not started,no,yes
18,Anno 1602: Creation of the World (1602 AD),Anno,2000,PC,physical,PC Disc,1,2-4,not started,no,terminated
19,Apex Legends,n/a,2019,PS4,digital,Console,0,60,unfinished,no,yes
20,Arcadegeddon,n/a,2022,PS4,digital,Console,1,2-4,not started,yes,yes
21,ARK: Survival Evolved,ARK,2015,"PS4, PC",digital,Console&PC,1-2,1-99+,unfinished,no,yes
22,ARK: Survival of the Fittest (no longer standalone game),ARK,2016,PC,digital,Steam,0,4-72,not started,no,yes
23,Ascendant,n/a,2014,PC,digital,GOG,1-2,0,not started,no,no
24,Assassin's Creed Chronicles: China,Assassin's Creed,2015,PC,digital,Uplay/Ubisoft,1,0,not started,no,no
25,Assassin's Creed Chronicles: India,Assassin's Creed,2016,PC,digital,Uplay/Ubisoft,1,0,not started,no,no
